

AU-01

| Field | Value |
| Secondary Actor(s) | Web App UI |
| Description | Create, suspend, delete user accounts and assign roles. |
| Trigger | Admin opens user management console. |
| Preconditions | System admin authenticated. |
| Postconditions | User accounts updated and logged. |
| Basic Flow | Admin searches user; performs create/suspend/delete; system updates account and logs action. |
| Alternative Flows | Bulk user operations. |
| Exception Flows | Action fails → show error and log. |
| Business Rules | Role-based access enforced; least privilege. |
| Special Requirements | Audit logging and change history. |
| Assumptions | Admin follows org policies. |
| Frequency of Use | Medium |

--- 
View Transparency Dashboard (CA-06)

| Field | Value |
|---|---|
| Use Case ID | CA-06 |
| Use Case Name | View Transparency Dashboard |
| Primary Actor(s) | Charity Admin; Donor; Volunteer; Beneficiary; Public (aggregated view) |
| Secondary Actor(s) | Analytics Module; Web App UI; Notification Service |
| Description | Display aggregated donation and campaign metrics, KPIs, and progress with role‑based detail levels. |
| Trigger | User navigates to the transparency dashboard or follows a dashboard link. |
| Preconditions | Analytics data pipelines populated; public view configured; user authentication works for detailed views. |
| Postconditions | Aggregated metrics displayed; authorized users can access detailed reports or export options. |
| Basic Flow | System retrieves aggregated analytics; renders KPIs, charts, and progress bars; shows admin controls for detailed data. |
| Alternative Flows | User filters by campaign/date; authenticated user sees personalized metrics; admin requests detailed report. |
| Exception Flows | Analytics unavailable → show cached data and "last updated"; data mismatch → show reconciliation notice. |
| Business Rules | Public view must not expose donor‑identifying data; financial KPIs must reconcile with transactions. |
| Special Requirements | Role‑based access control; caching and SLA for data refresh; responsive charts and export formats. |
| Assumptions | Analytics sources integrated and timely; role definitions maintained. |
| Frequency of Use | Medium (public) to High (admins during campaigns) |

---

View and Moderate Story Wall (CA-08)

| Field | Value |
|---|---|
| Use Case ID | CA-08 |
| Use Case Name | View and Moderate Story Wall |
| Primary Actor(s) | Charity Admin; Donor; Volunteer; Beneficiary; Public (read only) |
| Secondary Actor(s) | Web App UI; File Storage; Notification Service |
| Description | Show curated public stories and testimonials and provide moderation tools for admins to approve, edit, or remove submissions. |
| Trigger | User opens Story Wall page or a user submits a new story; admin opens moderation console. |
| Preconditions | Story submissions exist or are published; File Storage available for media; moderation workflow configured. |
| Postconditions | Approved stories published; pending submissions queued; moderation decisions recorded and applied. |
| Basic Flow | System displays approved stories; submitter uploads story and media saved as pending; admin reviews and approves/edits/rejects. |
| Alternative Flows | Submitter saves draft; admin edits before publishing; users filter stories by campaign/topic. |
| Exception Flows | Media upload fails → retry; content violates policy → reject and notify submitter; moderation outage → queue submissions. |
| Business Rules | Only moderated stories are public; consent required for publication; moderation actions audited. |
| Special Requirements | Media virus scanning and encrypted storage; moderation audit trail; privacy controls and anonymous publish option. |
| Assumptions | Moderation team monitors queue; submitters provide contact info for notifications. |
| Frequency of Use | Public reading: Medium–High; Submissions: Low–Medium; Moderation: Low–Medium |


BN-01 (merged)

| Field | Value |
|---|---|
| Use Case ID | BN-01 |
| Use Case Name | Submit Aid Request and Upload Verification Documents |
| Primary Actor(s) | Beneficiary |
| Secondary Actor(s) | Web App UI; File Storage |
| Description | Beneficiary submits an aid request with required details and uploads verification documents (IDs, photos, supporting files); the request and documents are validated, stored, and routed into the review workflow. |
| Trigger | Beneficiary selects "Submit Aid Request" or chooses to attach verification documents to an existing request. |
| Preconditions | Beneficiary authenticated; request form available; file storage service operational; allowed file types/sizes configured. |
| Postconditions | Aid request recorded; verification documents stored and linked to the request; request enters review/approval workflow. |
| Basic Flow | 1. Beneficiary opens the aid request form. 2. Beneficiary fills required fields and optionally saves a draft. 3. Beneficiary attaches verification documents (one or more files). 4. System validates form fields and file types/sizes; uploads files to File Storage; links files to the request. 5. System saves the request as "submitted" and notifies admins/queue for review. |
| Alternative Flows | - Save draft and upload documents later. - Upload additional or replacement documents after initial submission. - Submit without documents if policy allows, triggering a "request more info" path. |
| Exception Flows | - File upload failure → show error, allow retry, and queue upload. - Validation errors on form fields → highlight errors and prevent submission. - File type/size violation → reject file and prompt user to provide acceptable files. |
| Business Rules | - Required fields must be completed before final submission. - Only allowed file types and size limits accepted. - Sensitive personal data must be handled per privacy policy and access controls. |
| Special Requirements | - Files encrypted at rest; virus/malware scanning on upload. - Audit trail linking documents to requests and submitter. - Secure transport (TLS) for uploads. |
| Assumptions | Beneficiary can provide required documents; File Storage and notification systems are available. |
| Frequency of Use | Low–Medium (per aid request)
